description,dream_series_id,n_dreams,series,sex,year
"Samantha is a college-educated woman in her twenties who volunteered her dream journal in September, 1999. It is first of all of interest because it is one of the most contemporary dream journals we have from someone under 30. It is also of interest because the dream narratives are often longer than in many journals. We purposely know nothing about her.  Samantha's relationships to the named characters in her dreams are listed at the end of each dream report. All names have been changed, and they are consistent throughout the series.  (E.g., ""Walter"" starts out as an ex-boyfriend and later becomes a boyfriend, but it is the same person.)",samantha,63,Samantha: in her 20s,female,1992-1999
Jeff is a 17-year-old high school senior who contacted us after he had kept a dream journal for several months. It is the longest series we have from a person that age or younger. It is also of interest because sometimes Jeff has lucid dreams. (We have no other series where lucid dreams are a prominent feature.),jeff,87,Jeff: a lucid dreamer,male,2000
"This dream series consists of 4,352 dream reports, written down from ages 12 to 25, by a young woman out of her own interest in dreams, and with no interest in dream theories or psychotherapy. The series is unique for the early age at which it begins and the frequency of reports in the teen years (ages 13-19).It may be interesting to compare the Izzy series with the dream series that was tape-recorded by ""Jasmine"" from her early teens to her mid-20s, and with the dream reports written down by ""Bea"" at ages 14 and 15.(For more information about Izzy and her dream series, including the ""cast of characters"" in her dreams, click here.)",izzy15,539,"Izzy,  age 15",female,2006-2007
"Chris was a Wall Street businessman in his 50s, and the happily married father of daughters 20 and 18, when he wrote down several hundred of his dreams out of his own curiosity between June and December, 1968. He later sent 100 of them to Calvin S. Hall. He served in the army in World War II and traveled widely thereafter. He was also a transvestite, which is what makes this series unique. Click here to read Calvin Hall's inferences about Chris, as well as Chris' own notes on his dreams.",chris,100,Chris: a transvestite,male,1968
These dreams were collected at a middle school in Central California for a research project that resulted in a paper comparing seventh-grade girls and boys with each other and with the Hall and Van de Castle norms for women and men. (Click here to read the paper.),seventh_graders,69,Seventh grade girls,female,1996
"Jasmine is a young woman who recorded hundreds of her dreams from age 14 to 27.  In addition to the young age at which Jasmine started keeping a dream journal, there is another unique feature to this series: the dreams were tape recorded, usually in the morning. Thus, they are often longer and usually contain more detail than most dream reports.  (For more information about Jasmine and her dream series, including the ""cast of characters"" in her dreams, click here.)",jasmine4,96,Jasmine 4: college 2,female,2010-2011
"Alta is an adult woman who wrote down her dreams in the late 1980s and early 1990s, and added a few in 1997 when she called to offer the dreams to us.This series has not been heavily studied yet.",alta,422,Alta: a detailed dreamer,female,1985-1997
"The 388 dreams in this set were collected in November 1996, January 1997, and February 1997, from girls attending a school in the San Francisco Bay Area.  The girls ranged from 4th through 9th grade, with 5th and 6th graders providing 51% of the dreams.  The girls wrote the dreams in diaries that they kept at home.  All identifying information has been removed, and the first names that are included are pseudonyms.  This set of dreams covers the longest age span -- six years -- from one school that is available in our dream database.  It also contains the best set of dreams from 4th, 5th, and 6th graders that is available anywhere, as far as we know.  (For more about this series, including a table with details about each dreamer, click here.)",bay_area_girls_456,234,Bay Area girls: Grades 4-6,female,1996-1997
"This dream series consists of 4,352 dream reports, written down from ages 12 to 25, by a young woman out of her own interest in dreams, and with no interest in dream theories or psychotherapy. The series is unique for the early age at which it begins and the frequency of reports in the teen years (ages 13-19).It may be interesting to compare the Izzy series with the dream series that was tape-recorded by ""Jasmine"" from her early teens to her mid-20s, and with the dream reports written down by ""Bea"" at ages 14 and 15.(For more information about Izzy and her dream series, including the ""cast of characters"" in her dreams, click here.)",izzy13,167,"Izzy,  age 13",female,2004-2005
"Emma is an elderly woman who wrote down her dreams from 1949 to 1951, and again from 1960 to 1997, although there are very few dreams or no dreams for a few of the years.  We have a considerable amount of biographical information on Emma that we can make available to researchers who carry out a blind analysis of the dreams.",emma,1221,Emma: 48 years of dreams,female,1949-1997
